X, Y, label, Band_1, Band_2, Band_3, Band_4, Band_5, Band_6, Band_7, NDVI, NDWI, 
498745.2, 2387709.0, barren, 521.0, 2771.0, 352.0, 637.0, 2418.0, 1845.0, 723.0, 0.683, -0.626, 
605609.7, 2336392.0, barren, 863.0, 2894.0, 507.0, 875.0, 2563.0, 2149.0, 1244.0, 0.541, -0.536, 
534756.4, 2359677.0, barren, 1365.0, 3075.0, 694.5, 1262.5, 3169.0, 2880.0, 2191.5, 0.385, -0.418, 
604984.8, 2332265.0, barren, 950.5, 2869.5, 559.0, 940.0, 2771.5, 2201.5, 1349.5, 0.502, -0.506, 
538654.4, 2361730.0, barren, 751.0, 2688.0, 411.0, 732.0, 2781.0, 1900.5, 1139.0, 0.563, -0.572, 
580441.1, 2297659.0, barren, 1013.0, 2160.0, 578.0, 982.0, 2034.0, 1592.0, 1017.0, 0.361, -0.375, 
525186.4, 2369301.0, barren, 846.0, 2625.0, 497.0, 887.0, 3182.0, 2426.5, 1472.0, 0.513, -0.495, 
525203.9, 2337508.0, barren, 680.0, 3048.0, 391.0, 722.0, 3080.0, 1759.0, 987.0, 0.635, -0.617, 
609359.1, 2327527.0, barren, 864.5, 2698.5, 485.5, 897.0, 2299.0, 2144.5, 1303.0, 0.515, -0.501, 
566749.0, 2316093.0, barren, 1100.5, 1938.5, 649.0, 1166.5, 1292.5, 937.0, 579.0, 0.276, -0.249, 
632924.3, 2334141.0, barren, 892.0, 2685.0, 513.0, 932.0, 2219.0, 1689.5, 1032.0, 0.501, -0.485, 
610970.9, 2310372.0, barren, 1039.0, 2621.0, 562.0, 975.0, 2560.0, 1973.0, 1021.0, 0.432, -0.458, 
519364.1, 2338779.0, barren, 484.0, 2831.0, 269.0, 590.0, 2791.0, 1810.0, 844.0, 0.708, -0.655, 
521565.8, 2324084.0, barren, 386.0, 3080.0, 226.0, 534.0, 2864.0, 1877.0, 735.0, 0.777, -0.704, 
517798.3, 2353241.0, crop, 755.0, 2514.5, 438.0, 776.0, 2317.5, 1726.0, 1046.5, 0.538, -0.528, 
620223.9, 2342511.0, crop, 915.0, 2954.0, 515.0, 926.0, 2611.0, 1859.0, 1120.0, 0.527, -0.523, 
632262.9, 2327568.0, crop, 824.0, 2877.0, 485.0, 881.0, 2537.0, 1989.5, 1251.0, 0.555, -0.531, 
526402.7, 2365559.0, crop, 766.0, 2257.5, 393.0, 779.5, 2160.0, 1611.0, 990.0, 0.493, -0.487, 
526941.6, 2362991.0, crop, 842.0, 2437.0, 407.0, 821.0, 2425.0, 1531.0, 1008.0, 0.486, -0.496, 
535490.8, 2364501.0, crop, 709.0, 2760.0, 439.5, 792.5, 2610.5, 1697.0, 1027.5, 0.591, -0.554, 
532331.4, 2342287.0, crop, 722.0, 2720.0, 415.0, 747.0, 2589.5, 1813.5, 998.0, 0.58, -0.569, 
539707.3, 2359936.0, crop, 949.0, 2369.0, 532.0, 903.0, 2547.0, 2116.0, 1891.0, 0.428, -0.448, 
510770.6, 2357392.0, crop, 528.0, 2944.0, 308.0, 641.0, 2645.0, 1699.0, 841.0, 0.696, -0.642, 
577710.8, 2325075.0, crop, 783.0, 2347.5, 466.0, 828.0, 2140.5, 1616.0, 1120.5, 0.5, -0.479, 
532495.4, 2339442.0, crop, 681.0, 2720.0, 405.0, 722.0, 2533.0, 2165.0, 1055.0, 0.6, -0.58, 
624802.1, 2333081.0, crop, 908.0, 2782.0, 512.0, 935.0, 2729.0, 1917.0, 1392.0, 0.508, -0.497, 
509325.0, 2373019.0, crop, 808.0, 2513.0, 433.0, 818.0, 1967.0, 1414.0, 861.0, 0.513, -0.509, 
598347.8, 2324758.0, crop, 758.0, 2803.0, 476.5, 823.5, 2439.0, 1713.0, 1158.5, 0.574, -0.546, 
538251.9, 2338625.0, crop, 648.5, 2536.0, 386.5, 748.0, 1907.5, 1415.0, 781.5, 0.593, -0.544, 
625897.3, 2286376.0, crop, 680.5, 2937.5, 418.5, 790.0, 2791.5, 1598.0, 1031.0, 0.624, -0.576, 
502834.3, 2378653.0, crop, 618.0, 2556.0, 385.0, 695.0, 2142.0, 1338.0, 837.0, 0.611, -0.572, 
501403.4, 2364364.0, crop, 459.0, 2809.0, 252.0, 530.0, 2578.0, 1611.0, 838.0, 0.719, -0.683, 
625933.6, 2331604.0, crop, 940.5, 3114.0, 495.0, 914.0, 2620.0, 2254.0, 1130.5, 0.536, -0.546, 
585598.2, 2309806.0, crop, 897.0, 2667.0, 525.0, 936.0, 2468.0, 2009.0, 1163.0, 0.497, -0.48, 
493177.4, 2378008.0, crop, 572.0, 2873.0, 378.5, 657.0, 2461.0, 1615.0, 780.5, 0.668, -0.628, 
579534.9, 2285591.0, crop, 783.0, 2553.0, 457.0, 816.0, 2341.0, 1708.5, 1211.0, 0.531, -0.516, 
