X,Y,label,B1,B2,B3,B4,B5,B6,B7,DEM,NDVI,NDWI
61,47,3,622.0,2685.0,384.0,674.0,2508.5,1612.0,993.5,29,0.624,-0.599
257,154,3,850.5,2990.5,473.5,858.0,2650.5,2069.0,1370.5,12,0.557,-0.554
203,220,3,985.0,2467.5,592.5,997.5,2364.5,1655.0,1032.5,13,0.429,-0.424
286,228,3,854.5,2700.0,498.5,850.5,2632.0,2108.0,1134.5,12,0.519,-0.521
184,163,3,645.0,2769.0,381.0,717.0,2598.0,2224.0,1045.0,24,0.622,-0.589
166,137,3,754.5,2734.5,414.0,801.5,2611.0,1802.0,1034.0,20,0.567,-0.547
184,150,3,906.5,2815.0,515.0,927.0,2834.0,2447.0,1494.5,11,0.513,-0.505
217,136,3,884.0,2568.0,511.0,915.0,2571.0,2226.0,1386.0,13,0.488,-0.475
100,116,3,571.5,3094.5,324.5,678.0,2891.5,2122.5,1074.5,39,0.688,-0.641
205,165,3,856.0,2420.0,515.0,836.0,2346.0,2101.0,1122.0,15,0.477,-0.486
172,143,3,768.0,2841.0,419.0,815.0,2622.0,2067.0,1105.0,13,0.574,-0.554
245,244,3,760.5,2569.5,498.0,843.0,2204.0,1732.5,1139.0,9,0.543,-0.506
151,159,3,652.5,2706.0,356.0,694.5,2510.0,2242.0,1249.5,9,0.611,-0.592
292,128,3,988.0,2951.0,584.0,1010.0,2706.0,2242.0,1523.0,9,0.498,-0.49
308,137,3,883.5,2711.5,499.5,877.0,2343.0,1788.0,1165.5,12,0.508,-0.511
105,69,3,588.0,2758.0,329.0,670.0,2424.0,1543.0,896.0,46,0.649,-0.609
200,195,3,797.5,2766.0,507.0,841.0,2545.0,1982.0,1354.5,9,0.552,-0.534
233,116,3,932.0,2816.0,531.0,922.0,2574.0,2189.5,1126.0,10,0.503,-0.507
268,195,3,821.0,2982.0,443.0,833.0,2429.0,2213.0,1220.0,8,0.568,-0.563
121,101,3,853.0,2684.0,447.5,837.0,2618.0,2034.0,1170.5,13,0.518,-0.525
167,202,3,558.0,2660.0,309.0,642.0,2488.0,1574.5,898.0,52,0.653,-0.611
28,53,3,694.5,2883.5,463.5,793.0,2683.5,1737.0,1028.5,29,0.612,-0.569
256,185,3,846.5,2523.5,481.5,848.0,2352.5,1732.0,1128.0,11,0.498,-0.497
101,76,3,678.5,2876.5,334.0,680.0,2825.0,1638.0,997.5,18,0.618,-0.618
137,117,3,809.0,2833.5,451.0,864.0,2948.0,1896.0,1154.5,24,0.556,-0.533
305,141,3,912.5,2667.5,481.5,912.0,2615.0,2188.0,1331.5,12,0.49,-0.49
51,28,3,510.0,2814.0,323.0,604.0,2546.0,1525.0,776.0,50,0.693,-0.647
268,132,3,809.0,2720.0,493.0,882.0,2532.0,2088.0,1204.0,12,0.542,-0.51
252,150,3,899.5,2805.0,518.5,905.0,2390.5,1821.0,1015.5,14,0.514,-0.512
213,247,3,724.5,2513.0,412.0,798.0,2245.5,1852.5,962.0,14,0.552,-0.518
252,173,3,773.0,2504.0,493.0,833.0,2277.0,1717.0,1099.0,12,0.528,-0.501
222,230,3,918.5,2254.0,563.5,957.5,1911.0,1408.5,818.5,7,0.421,-0.404
246,148,3,850.0,2933.0,518.0,934.0,2771.0,2115.5,1352.5,12,0.551,-0.517
199,123,3,792.0,3023.0,477.0,828.0,3039.0,2330.5,1266.0,17,0.585,-0.57
207,101,3,681.0,2799.5,404.5,727.0,2739.0,2367.0,1168.5,26,0.609,-0.588
47,89,3,596.0,3078.0,341.0,709.0,2867.0,2289.0,995.0,81,0.676,-0.626
240,116,3,818.0,2965.0,469.0,865.0,2765.0,2076.0,1067.0,13,0.568,-0.548
214,248,3,768.0,2509.0,462.0,810.0,2108.0,1633.0,947.0,5,0.531,-0.512
117,128,3,691.5,2815.0,367.5,717.5,2750.5,2172.0,1146.0,22,0.606,-0.594
121,76,3,700.0,2953.0,360.0,733.0,2808.0,1677.5,995.0,21,0.617,-0.602
242,151,3,748.0,2928.0,425.0,822.0,2494.0,1778.0,991.0,14,0.593,-0.562
138,159,3,659.0,2807.0,356.0,766.0,2832.0,2241.5,1097.0,18,0.62,-0.571
153,172,3,638.0,2678.0,322.0,710.0,2598.0,2069.5,1011.0,13,0.615,-0.581
106,74,3,611.0,2758.0,327.5,672.0,2457.5,1951.0,1148.0,49,0.637,-0.608
52,24,3,438.5,2789.5,285.0,550.5,2398.0,1311.0,584.0,53,0.728,-0.67
258,205,3,870.0,2591.0,543.0,878.0,2653.0,2004.0,1637.0,9,0.497,-0.494
228,198,3,721.5,2770.0,426.5,832.5,2611.0,1931.0,1060.0,8,0.587,-0.538
118,79,3,638.5,2533.5,372.5,737.5,2183.5,1310.0,919.0,13,0.597,-0.549
56,23,3,534.0,2843.0,348.0,642.0,2594.0,1663.0,774.0,45,0.684,-0.632
93,141,3,590.5,2970.0,323.0,705.5,2641.0,1851.0,997.5,17,0.668,-0.616
231,226,3,854.5,2377.0,533.0,898.0,2112.0,1661.0,913.0,32,0.471,-0.452
153,132,3,762.0,2611.0,444.5,786.0,2558.0,1938.0,1206.5,13,0.548,-0.537
194,131,3,862.0,2749.0,489.0,906.0,2404.0,2189.0,1140.0,26,0.523,-0.504
90,79,3,677.0,2718.0,336.0,698.0,2580.0,1994.0,1154.0,28,0.601,-0.591
207,205,3,957.0,2468.0,556.0,952.0,2299.0,1464.0,875.0,4,0.441,-0.443
186,161,3,821.5,2880.0,457.0,820.0,2561.0,1917.0,1367.0,11,0.556,-0.557
260,181,3,1007.0,2639.0,580.5,1000.5,2726.0,2430.0,1510.0,12,0.448,-0.45
198,122,3,878.0,2992.5,522.0,914.0,3079.0,2350.0,1361.5,11,0.546,-0.532
261,195,3,848.5,2583.5,480.5,881.5,2426.5,2241.5,1410.0,9,0.506,-0.491
27,79,3,390.0,3041.0,330.0,495.0,2876.0,1622.0,706.0,194,0.773,-0.72
286,145,3,866.0,2531.5,498.0,925.0,2159.5,1708.0,971.5,14,0.49,-0.465
221,119,3,902.5,2684.5,552.5,986.0,2607.5,2596.0,1720.0,16,0.497,-0.463
122,110,3,783.5,2931.5,417.0,825.5,2618.5,2218.0,1312.0,23,0.578,-0.561
173,158,3,810.0,2706.5,482.5,842.0,2545.5,2109.0,1605.5,10,0.539,-0.525
125,126,3,697.5,2874.5,410.0,756.0,2715.0,1851.0,1125.0,27,0.609,-0.584
277,244,3,817.5,2413.5,476.5,819.5,2331.0,1962.5,1072.5,11,0.494,-0.493
211,177,3,800.0,2405.0,492.0,819.0,2322.0,1812.0,1031.0,8,0.501,-0.492
219,86,3,717.0,2897.0,420.0,758.0,2754.0,1786.0,1166.0,6,0.603,-0.585
171,182,3,834.0,2364.0,477.5,863.5,2219.5,1555.0,1016.5,13,0.478,-0.465
212,201,3,1004.5,2401.0,591.5,989.5,2280.0,1941.5,979.0,9,0.41,-0.416
236,188,3,799.0,2620.0,473.0,832.0,2529.0,1771.0,1244.0,20,0.533,-0.518
85,37,3,624.0,2688.0,412.0,669.0,2498.0,1625.5,847.0,25,0.623,-0.601
46,83,3,619.0,2863.0,365.0,726.0,2662.0,2094.0,1209.0,74,0.644,-0.595
85,31,3,566.0,2840.0,365.0,654.0,2676.0,1695.5,778.0,19,0.668,-0.626
